"Name","ID","logFC","logCPM","PValue","FDR","Direction","t"
"UBE3A","ENSG00000114062",0.0233763427278957,4.60143953484597,0.245445102772892,0.518761132515096,"NONE",1.16259060786694
"","ENSG00000260837",0.0430348741929807,4.47986297924443,0.244251121711547,0.51743605912834,"NONE",1.16553931601092
"SEMA6B","ENSG00000167680",0.028569216646356,5.14283059780156,0.248713645654002,0.522024886793348,"NONE",1.15456970131723
"NABP2","ENSG00000139579",0.0174851531592299,4.5993405193688,0.243868463231293,0.51743605912834,"NONE",1.1664864922062
"DDIT3","ENSG00000175197",-0.0482037300502069,3.89977400801384,0.24377840094104,0.51743605912834,"NONE",-1.1667095711763
"MCM9","ENSG00000111877",-0.0158964670696068,1.22384910604776,0.536312786067764,0.762236560018611,"NONE",-0.618744895580853
"SWT1","ENSG00000116668",0.0232461744720558,2.35223875731699,0.38123154485503,0.64408587088259,"NONE",0.876256631807241
"","ENSG00000279089",0.0218030244294531,1.96964047101185,0.437297071366973,0.690485189921565,"NONE",0.777270539441708
"","ENSG00000254370",-0.0384525395741528,2.83847666265353,0.322819648067238,0.591873911086657,"NONE",-0.989472968492918
"FSCN1","ENSG00000075618",-0.0278420803977024,5.18421716288263,0.248027554290954,0.521435187556494,"NONE",-1.15624718680044
"ATP8B4","ENSG00000104043",-0.0231011039915686,0.633299946232011,0.638073993316971,0.823476028552908,"NONE",-0.470626232359221
"ARHGEF28","ENSG00000214944",-0.0280051759613467,1.78274206512506,0.460268579439925,0.707079069556371,"NONE",-0.738867247479261
"CEPT1","ENSG00000134255",-0.0301145916506891,2.09095482655214,0.420840067882304,0.676331553538011,"NONE",-0.805502501828678
"MAST3","ENSG00000099308",-0.03848911973179,4.56170376401184,0.244223388807249,0.51743605912834,"NONE",-1.16560792681555
"CD58","ENSG00000116815",0.0358245906469659,2.18171514157477,0.400195553860466,0.658932696478623,"NONE",0.84185452976706
"IREB2","ENSG00000136381",0.0155354919999309,3.20470913979547,0.276136657692636,0.549494360486199,"NONE",1.09000451857135
"RREB1","ENSG00000124782",0.0273971891192596,1.48730161802404,0.493366682949594,0.731203126599203,"NONE",0.685371890503115
"ZNF692","ENSG00000171163",0.0374588024746307,4.47055101464884,0.244289611641744,0.51743605912834,"NONE",1.16544410156506
"NEURL1B","ENSG00000214357",-0.0304373302539491,2.67349385982317,0.3356881606167,0.6036497332734,"NONE",-0.963471980855417
"AKAP1","ENSG00000121057",-0.0227191536311331,4.01052173418078,0.242701874302669,0.516448164893337,"NONE",-1.16938056903592
"NAP1L4","ENSG00000205531",0.0207944619569718,5.3962618822462,0.255881360245471,0.528967286181756,"NONE",1.13723533480141
"PSME3","ENSG00000131467",-0.0149216090385487,4.15375838426019,0.2429332252907,0.516491519174497,"NONE",-1.16880585502632
"RGS5","ENSG00000143248",-0.0612574882457313,5.10835660181723,0.250819692148731,0.524135588011327,"NONE",-1.14944061115221
"SNHG5","ENSG00000203875",0.0396933987609267,4.1452436304709,0.244144378591297,0.51743605912834,"NONE",1.16580342702184
"SERTAD2","ENSG00000179833",0.0236539869789776,2.6172494771131,0.344800113433204,0.611156538288901,"NONE",0.945448352185884
"ZNF890P","ENSG00000159904",-0.0502021918931588,1.936182300507,0.448240932943517,0.698279457678325,"NONE",-0.758835180228765
"ARHGEF16","ENSG00000130762",-0.0257033104637956,0.909966098883078,0.58689333151324,0.793049788506968,"NONE",-0.543628747395428
"TXNDC17","ENSG00000129235",-0.0249232380525539,2.90739665164651,0.306972155589438,0.576486179666099,"NONE",-1.02244262281765
"RASAL2","ENSG00000075391",-0.0250361973502233,3.49793353371152,0.259033760974491,0.532486693009938,"NONE",-1.1297187085898
"CYYR1","ENSG00000166265",0.0536667897178241,2.5989007271688,0.338082207892138,0.605640157050813,"NONE",0.958706346063515
"BRI3BP","ENSG00000184992",0.0280615610026036,3.8159257260695,0.246882467958028,0.520185052067192,"NONE",1.15905417522189
"RAB27A","ENSG00000069974",0.0341355550700286,1.98972430869596,0.423249428953355,0.678004039410075,"NONE",0.801329435530026
"CYB5RL","ENSG00000215883",-0.0162311487061704,0.835721671177089,0.619173895227544,0.812168563048909,"NONE",-0.497272720868351
"SH3GL1P1","ENSG00000266777",0.0270065720058119,1.33048201183325,0.544966442186882,0.768799854908452,"NONE",0.605655216345841
"BNIP2","ENSG00000140299",0.0298111925256042,3.13898204157108,0.282122739772546,0.554925634711782,"NONE",1.07650377350201
"FBLN5","ENSG00000140092",-0.0348486555587391,2.2983092347955,0.392452655328399,0.652319954126934,"NONE",-0.855778235619758
"PI4K2A","ENSG00000155252",0.0265397853850837,4.13896838869529,0.244006384995878,0.51743605912834,"NONE",1.16614498055479
"PTK7","ENSG00000112655",0.025470715745409,2.03644931305082,0.423371379119218,0.678004039410075,"NONE",0.801118586568214
"TTC27","ENSG00000018699",-0.0215030535454701,2.20932843468769,0.401304251888396,0.659933789952683,"NONE",-0.839874167845545
"NSUN4","ENSG00000117481",0.0179972471297694,2.81327406529797,0.320538697749827,0.5892826877192,"NONE",0.994151758065802
"ANAPC7","ENSG00000196510",-0.0170079312411291,3.78397471305029,0.246266050359008,0.519646390931654,"NONE",-1.16056900658191
"MAPK8IP1","ENSG00000121653",0.0298016750751158,5.19404110054119,0.250594838444442,0.524035069791248,"NONE",1.14998678120447
"PDCD2L","ENSG00000126249",-0.0274464152674323,2.00619559231794,0.432313751843648,0.68574056839456,"NONE",-0.785753147506743
"","ENSG00000243554",-0.0296576192189155,4.07812091316904,0.248942789979921,0.522398619327828,"NONE",-1.15401016888852
"SLCO2B1","ENSG00000137491",-0.0602767623259557,3.65710385003075,0.252445299817668,0.525625403278632,"NONE",-1.14550215931237
"DACT3","ENSG00000197380",0.0277129505400731,4.15886896235446,0.244157023033042,0.51743605912834,"NONE",1.16577213704979
"GAL3ST4","ENSG00000197093",-0.0386592279307121,2.2476121876089,0.387295783167024,0.648718360374445,"NONE",-0.86514438648129
"GNAI3","ENSG00000065135",0.0186903670582645,2.8202080312012,0.31404047017124,0.583500974904532,"NONE",1.00760215004535
"C10orf11","ENSG00000148655",-0.0439759080711222,1.40288415172057,0.514197266241492,0.745735272297126,"NONE",-0.652693076170661
"DNAJC5","ENSG00000101152",-0.0241701398347631,5.28446026604404,0.252449499369161,0.525625403278632,"NONE",-1.14549200781112
