"Name","ID","logFC","logCPM","PValue","FDR","Direction","t"
"TRO","ENSG00000067445",-0.248356123332976,3.92194860883027,7.05146072916327e-09,0.000115093942021403,"DOWN",-6.15306437819306
"PPEF1","ENSG00000086717",-0.557449246055158,1.72478556507369,4.0161083395127e-08,0.000327754601587632,"DOWN",-5.79944170130091
"MAGEH1","ENSG00000187601",-0.199583742827336,4.83309237203963,1.02673987215574e-07,0.000418961204833151,"DOWN",-5.60348489484401
"LINC01007","ENSG00000233123",-0.796942509219527,1.86567600886052,9.25365330628481e-08,0.000418961204833151,"DOWN",-5.62538188447662
"GATB","ENSG00000059691",-0.252307637647973,2.29869644915459,1.87384955682999e-07,0.000611699449331582,"DOWN",-5.47575251439678
"KRT17","ENSG00000128422",-0.52613070614359,2.32091172991891,5.39125377280015e-07,0.00125708634399492,"DOWN",-5.24690622489871
"CYP26A1","ENSG00000095596",-0.649381156674215,0.958901414362371,4.41436640569265e-07,0.00120085480789526,"DOWN",-5.29066020641652
"NHSL1","ENSG00000135540",0.315333167279736,2.15337959117377,6.31369472136247e-07,0.00128815156552598,"UP",5.21217783246813
"ABLIM1","ENSG00000099204",0.207895925485595,4.49620108778961,7.50726277088559e-07,0.0013614838105155,"UP",5.17393962958458
"","ENSG00000248455",-0.47833945574289,1.81092469804862,1.25318109686797e-06,0.00204544218630789,"DOWN",-5.0597274116209
"ADTRP","ENSG00000111863",-0.508932044048235,1.3636577123803,1.68649103748124e-06,0.00229975371401295,"DOWN",-4.99278263357837
"TRPA1","ENSG00000104321",-0.468470960079001,0.575129058538824,1.69078817351767e-06,0.00229975371401295,"DOWN",-4.99220650487643
"MGST3","ENSG00000143198",-0.16331718143589,3.77188819006797,2.63759681670355e-06,0.00283726840943254,"DOWN",-4.89086662234424
"","ENSG00000274561",0.310665470534055,2.68896408903576,2.69566120883001e-06,0.00283726840943254,"UP",4.88586937592499
"LSM14A","ENSG00000257103",0.160135121387513,3.78067969212055,2.78129485056492e-06,0.00283726840943254,"UP",4.87868668058376
"","ENSG00000279281",0.39214655636213,1.61536051361094,2.48926027809246e-06,0.00283726840943254,"UP",4.90413415377566
"CGNL1","ENSG00000128849",0.36821959803882,2.84448654763861,3.77537021257506e-06,0.00294827446615202,"UP",4.8081361567626
"OTOGL","ENSG00000165899",-0.458884364212896,1.72700253999673,3.33938693887316e-06,0.00294827446615202,"DOWN",-4.83654728454487
"LDHA","ENSG00000134333",-0.241136120079645,4.64637271530945,3.83035225432017e-06,0.00294827446615202,"DOWN",-4.80478142993331
"IFIH1","ENSG00000115267",0.342618780055218,1.70553239036961,3.52984125434689e-06,0.00294827446615202,"UP",4.82371892721871
"ABRACL","ENSG00000146386",-0.284691083864387,2.7033732303014,4.04071448973453e-06,0.00294827446615202,"DOWN",-4.79236281670798
"HSPB3","ENSG00000169271",-0.613197276762392,1.68321389905699,4.00553124020957e-06,0.00294827446615202,"DOWN",-4.79439558772245
"ARHGEF26","ENSG00000114790",0.2635854855988,3.15921801044717,4.4197498393494e-06,0.00294827446615202,"UP",4.77148909736033
"TPI1","ENSG00000111669",-0.264625094323538,6.29827394165144,4.35521439764157e-06,0.00294827446615202,"DOWN",-4.77491759496108
"LY86-AS1","ENSG00000216863",-0.413163867649515,2.66492758267082,4.51579841035415e-06,0.00294827446615202,"DOWN",-4.76647512904963
"AKAP6","ENSG00000151320",-0.133866000742536,4.21673342406816,6.05384742428447e-06,0.00353759797958814,"NONE",-4.69776566577531
"HIPK1","ENSG00000163349",0.157344253833903,4.17594700686369,6.28222447883233e-06,0.00353759797958814,"UP",4.68903812993865
"THYN1","ENSG00000151500",-0.130651361127157,4.27734393096836,6.3070731506612e-06,0.00353759797958814,"NONE",-4.68810709813231
"SCAF8","ENSG00000213079",0.113442516072099,4.03431838220968,6.83467350109737e-06,0.00353759797958814,"NONE",4.66913308917722
"ETV1","ENSG00000006468",-0.269206385485384,2.67648867217755,7.38394659238492e-06,0.00353759797958814,"DOWN",-4.65082805372383
"NCOA1","ENSG00000084676",0.148735315140006,4.2589893329333,7.56851073864412e-06,0.00353759797958814,"UP",4.64497167475618
"TBL1X","ENSG00000101849",0.27319978488982,2.51300872311879,7.70415157849332e-06,0.00353759797958814,"UP",4.64075497591706
"PDCD4","ENSG00000150593",0.186187616721488,3.49283008492231,7.76180536163853e-06,0.00353759797958814,"UP",4.63898435818974
"GIGYF1","ENSG00000146830",0.138498856951518,3.67554032341183,7.80256875782213e-06,0.00353759797958814,"UP",4.63774011471018
"CDKN2B","ENSG00000147883",0.365104059016093,1.25536207669674,6.74975498193226e-06,0.00353759797958814,"UP",4.67208928641838
"","ENSG00000246363",-0.599740521016746,0.538693738563599,7.24618956757307e-06,0.00353759797958814,"DOWN",-4.65529211650748
"SYTL2","ENSG00000137501",-0.322161878037041,4.13166038513196,9.13359140073359e-06,0.00402914807683172,"DOWN",-4.60022168122836
"KIAA2026","ENSG00000183354",0.102792072717699,3.87529012858794,1.14997534611564e-05,0.00445141739359886,"NONE",4.54497609691405
"REV3L","ENSG00000009413",0.135457642358449,3.52490301529609,1.1638008710782e-05,0.00445141739359886,"NONE",4.54209783715455
"CNPY3","ENSG00000137161",0.171361016324539,4.10584341019863,1.20307186013675e-05,0.00445141739359886,"UP",4.53409855567338
"SASH1","ENSG00000111961",0.240577215415794,3.98600441341444,1.2186317736789e-05,0.00445141739359886,"UP",4.53099854131297
"ZNF703","ENSG00000183779",0.224492176281675,2.1486684477191,1.22147498166896e-05,0.00445141739359886,"UP",4.53043621345387
"RXFP1","ENSG00000171509",-0.42750564349697,2.9026923083752,1.26571701556731e-05,0.00445141739359886,"DOWN",-4.52184495864631
"","ENSG00000259366",0.300367001934343,3.02743755094672,1.28124092590199e-05,0.00445141739359886,"UP",4.51889889152079
"CYP20A1","ENSG00000119004",0.26261985377724,3.90262918701502,1.26633413502666e-05,0.00445141739359886,"UP",4.52172718091193
"PPHLN1","ENSG00000134283",-0.112556585913035,2.57482001962711,1.30907998341346e-05,0.00445141739359886,"NONE",-4.51370085588447
"MLIP","ENSG00000146147",-0.37482412912963,3.24836960763052,1.29783008935184e-05,0.00445141739359886,"DOWN",-4.51578845656598
"CALM2","ENSG00000143933",-0.114835131227201,6.27346196044243,1.3849159241105e-05,0.00457179229342785,"NONE",-4.50006364237619
"C3orf80","ENSG00000180044",-0.481095747864619,3.11223285609832,1.42851002919263e-05,0.00457179229342785,"DOWN",-4.49254657834602
"GOLIM4","ENSG00000173905",0.311862332189378,4.05623392919851,1.41968829944362e-05,0.00457179229342785,"UP",4.49404972815017
"MSC-AS1","ENSG00000235531",-0.403125327798578,1.2136982014613,1.29232736753367e-05,0.00445141739359886,"DOWN",-4.51681593675508
"ACP1","ENSG00000143727",-0.134149214247347,4.00077934930999,1.49445663978945e-05,0.00457846596606699,"NONE",-4.48158515595558
