GeneID	RNAseq wt_1	RNAseq wt_2	RNAseq wt_3	RNAseq APP_1	RNAseq APP_2	RNAseq APP_3	RNAseq PSEN_1	RNAseq PSEN_2	RNAseq PSEN_3	RNAseq APP/PSEN1_1	RNAseq APP/PSEN1_2	RNAseq APP/PSEN1_3
ENSG00000184163	2	6	3	8	11	5	7	4	1	8	11	16
ENSG00000260179	0	1	4	1	6	2	3	2	2	3	3	4
ENSG00000160087	330	385	380	447	339	430	425	546	360	194	365	303
ENSG00000230415	7	9	5	10	2	12	6	8	2	1	20	10
ENSG00000162572	40	46	59	43	36	38	49	62	31	32	58	52
ENSG00000131584	911	1089	1116	1102	894	1168	1097	1526	979	686	1159	1041
ENSG00000169972	80	109	108	138	94	130	126	141	92	67	96	82
ENSG00000127054	734	890	854	925	682	920	830	1221	736	458	858	707
ENSG00000240731	22	12	24	12	14	16	26	24	27	5	22	16
ENSG00000224051	265	276	298	375	258	373	334	495	310	169	269	236
ENSG00000169962	40	43	47	26	12	34	43	50	28	21	40	32
ENSG00000107404	1300	1329	1261	1667	1174	1758	1477	2044	1362	679	1245	1108
ENSG00000162576	54	59	73	151	85	113	79	110	66	25	39	30
ENSG00000175756	345	369	387	473	323	545	495	612	392	223	430	419
ENSG00000223663	2	1	0	0	1	1	0	0	0	1	0	2
ENSG00000221978	1402	1609	1620	1533	1348	1270	1410	2102	1265	680	1550	1513
ENSG00000224870	276	270	281	277	188	303	263	437	246	139	251	242
ENSG00000242485	407	503	433	518	390	518	477	674	452	278	476	413
ENSG00000264293	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272455	54	53	47	47	43	52	61	59	40	29	66	44
ENSG00000235098	4	7	7	8	5	2	5	4	3	2	7	2
ENSG00000225905	0	3	0	0	3	1	0	0	0	2	1	2
ENSG00000205116	0	3	1	0	0	0	1	0	0	0	2	0
ENSG00000225285	0	0	1	0	0	1	0	2	1	0	0	1
ENSG00000179403	115	124	135	297	185	283	157	215	120	40	54	53
ENSG00000215915	3	5	5	1	3	0	6	4	6	1	4	4
ENSG00000160072	334	359	344	358	301	424	405	535	361	216	401	404
ENSG00000197785	298	364	344	321	262	347	416	489	344	122	267	254
ENSG00000205090	81	136	110	116	91	119	126	159	100	67	126	108
ENSG00000160075	663	670	625	1006	698	845	771	1050	649	466	786	676
ENSG00000215791	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215014	21	14	11	12	7	14	14	14	17	7	20	18
ENSG00000236684	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000228594	175	208	181	405	245	358	254	379	239	119	204	153
ENSG00000272106	393	461	396	316	233	268	441	547	315	164	347	231
ENSG00000197530	653	701	684	744	548	864	770	1011	662	397	683	614
ENSG00000189409	2	0	1	2	0	0	0	0	0	0	0	1
ENSG00000248333	99	109	125	137	110	150	130	178	114	85	171	128
ENSG00000272004	1	0	1	0	1	2	0	0	0	0	0	0
ENSG00000189339	698	749	796	1168	935	965	990	1492	934	548	932	644
ENSG00000269737	17	27	26	14	20	17	20	31	20	11	13	24
ENSG00000269227	8	6	12	11	6	7	4	10	10	2	12	11
ENSG00000215914	0	0	0	0	1	0	0	0	1	0	0	1
