"Name","ID","logFC","logCPM","PValue","FDR","Direction"
"KCP","ENSG00000135253",1.59407873,0.940244742,9.04e-08,6.34e-07,"UP"
"EVL","ENSG00000196405",0.706534414,7.877537886,9.08e-08,6.36e-07,"NONE"
"RP5-968P14.2","ENSG00000260063",1.851231823,0.482163264,9.09e-08,6.36e-07,"UP"
"ERAP2","ENSG00000164308",0.972840035,3.888830208,9.15e-08,6.41e-07,"NONE"
"CAMK2N2","ENSG00000163888",-1.213269057,1.698435869,9.17e-08,6.42e-07,"DOWN"
"DYRK2","ENSG00000127334",-0.973387852,4.563563219,9.18e-08,6.42e-07,"NONE"
"TRABD2B","ENSG00000269113",-3.512271739,-0.795232091,9.18e-08,6.42e-07,"DOWN"
"RP11-244F12.1","ENSG00000259394",-1.217314113,1.458136384,9.2e-08,6.43e-07,"DOWN"
"LAPTM4B","ENSG00000104341",-0.469622776,8.046594828,9.33e-08,6.52e-07,"NONE"
"VDAC1P2","ENSG00000213856",-1.206053398,1.817641153,9.33e-08,6.52e-07,"DOWN"
"IL27RA","ENSG00000104998",-1.037478099,2.578834408,9.37e-08,6.54e-07,"DOWN"
"DOK7","ENSG00000175920",1.819011815,0.496929488,9.42e-08,6.57e-07,"UP"
"RNA5SP118","ENSG00000222317",1.207808745,2.405028282,9.46e-08,6.6e-07,"UP"
"ZDHHC17","ENSG00000186908",0.588566262,7.407142692,9.49e-08,6.62e-07,"NONE"
"ZBTB20","ENSG00000181722",0.765767615,5.559300181,9.5e-08,6.63e-07,"NONE"
"KCNH3","ENSG00000135519",-0.883020329,2.559943782,9.57e-08,6.67e-07,"NONE"
"LINC01125","ENSG00000228486",0.72747934,4.249776351,9.61e-08,6.69e-07,"NONE"
"IRAK1","ENSG00000184216",-0.563674026,6.166025942,9.66e-08,6.73e-07,"NONE"
"SLC2A4","ENSG00000181856",-1.653255938,0.478131749,9.69e-08,6.75e-07,"DOWN"
"RNF135","ENSG00000181481",1.63924696,1.522344201,9.71e-08,6.76e-07,"UP"
"HSF1","ENSG00000185122",-0.537829735,6.225744572,9.84e-08,6.84e-07,"NONE"
"RPL6P27","ENSG00000235552",-0.714370579,7.168332324,9.85e-08,6.85e-07,"NONE"
"DNAJA3","ENSG00000103423",-0.470004793,6.070438482,9.86e-08,6.85e-07,"NONE"
"URB1","ENSG00000142207",-0.595583599,6.554816946,9.86e-08,6.85e-07,"NONE"
"RP11-577N1.1","ENSG00000254050",2.719103759,0.045128744,9.98e-08,6.93e-07,"UP"
"RPL7P1","ENSG00000214485",-0.612748595,6.667568046,1e-07,6.97e-07,"NONE"
"RHBDF1","ENSG00000007384",-0.598063659,5.130356948,1.01e-07,7.04e-07,"NONE"
"FAM222B","ENSG00000173065",-0.522750618,5.305986931,1.02e-07,7.05e-07,"NONE"
"TRMT6","ENSG00000089195",-0.635219759,4.365266379,1.02e-07,7.07e-07,"NONE"
"CTD-2192J16.15","ENSG00000178464",-0.59117028,5.647478447,1.03e-07,7.15e-07,"NONE"
"JMJD7-PLA2G4B","ENSG00000168970",0.770733116,4.176340276,1.04e-07,7.18e-07,"NONE"
"ARSK","ENSG00000164291",-0.860767993,3.43752255,1.04e-07,7.24e-07,"NONE"
"GSPT1","ENSG00000103342",-0.490273456,7.512585605,1.05e-07,7.25e-07,"NONE"
"C16orf74","ENSG00000154102",-1.22778833,2.188044,1.06e-07,7.34e-07,"DOWN"
"SLC26A4","ENSG00000091137",2.778146751,0.411552885,1.07e-07,7.4e-07,"UP"
"S1PR1","ENSG00000170989",0.660345679,7.668675932,1.07e-07,7.38e-07,"NONE"
"LINC00176","ENSG00000196421",1.0236101,2.413014931,1.08e-07,7.45e-07,"UP"
"RAB8A","ENSG00000167461",0.751618812,3.78475221,1.08e-07,7.49e-07,"NONE"
"PA2G4P4","ENSG00000230457",-0.801564183,3.727656649,1.08e-07,7.49e-07,"NONE"
"MRPS18A","ENSG00000096080",-0.86068781,3.712655105,1.09e-07,7.5e-07,"NONE"
"AKNAD1","ENSG00000162641",1.338990759,2.637312379,1.11e-07,7.65e-07,"UP"
"RP11-77P16.4","ENSG00000249846",1.819084555,1.00621348,1.12e-07,7.71e-07,"UP"
"RP11-774O3.3","ENSG00000251615",1.367084349,4.203986731,1.13e-07,7.81e-07,"UP"
"SNX19","ENSG00000120451",0.498500447,6.968439318,1.13e-07,7.76e-07,"NONE"
"OSTM1","ENSG00000081087",-0.595039871,4.950212126,1.13e-07,7.81e-07,"NONE"
"PLOD3","ENSG00000106397",-0.675933694,5.257827017,1.13e-07,7.78e-07,"NONE"
"ALDOC","ENSG00000109107",-1.227040545,5.843640242,1.13e-07,7.78e-07,"DOWN"
"GALNT10","ENSG00000164574",-0.602227911,7.32930896,1.14e-07,7.83e-07,"NONE"
"FADS3","ENSG00000221968",-0.662508158,4.411099208,1.14e-07,7.85e-07,"NONE"
"PLAT","ENSG00000104368",-1.38502112,3.61700992,1.14e-07,7.85e-07,"DOWN"
"ANKUB1","ENSG00000206199",2.353521948,0.486080993,1.15e-07,7.92e-07,"UP"
"C10orf25","ENSG00000165511",1.363373686,1.912861399,1.16e-07,7.97e-07,"UP"
"C3orf18","ENSG00000088543",0.62700005,4.652970615,1.16e-07,7.97e-07,"NONE"
"TMEM234","ENSG00000160055",0.890644228,3.295845737,1.17e-07,8.03e-07,"NONE"
"GARS","ENSG00000106105",-0.486295307,6.248035613,1.17e-07,8.03e-07,"NONE"
"EHD4","ENSG00000103966",-1.531467369,1.179456127,1.17e-07,8.02e-07,"DOWN"
"RP1-104O17.1","ENSG00000224849",1.997597478,0.257430724,1.18e-07,8.12e-07,"UP"
"RP3-405J10.3","ENSG00000257298",-1.644789778,0.942395692,1.19e-07,8.17e-07,"DOWN"
"GART","ENSG00000159131",-0.601880398,6.991847562,1.2e-07,8.23e-07,"NONE"
"ZMYM5","ENSG00000132950",0.699872469,4.465866461,1.21e-07,8.29e-07,"NONE"
"RP11-806O11.1","ENSG00000253671",2.329614295,0.142351812,1.22e-07,8.38e-07,"UP"
"41704","ENSG00000145495",0.502894394,9.156324653,1.22e-07,8.38e-07,"NONE"
"RPL7P9","ENSG00000137970",-0.554519992,6.286189296,1.22e-07,8.37e-07,"NONE"
"CLN6","ENSG00000128973",-0.74305535,3.74185077,1.22e-07,8.37e-07,"NONE"
"ARSG","ENSG00000141337",-0.747940136,4.388403307,1.22e-07,8.33e-07,"NONE"
"NFIA-AS2","ENSG00000237928",1.679109175,3.099606864,1.25e-07,8.54e-07,"UP"
"NEK7","ENSG00000151414",0.667425116,4.567641324,1.25e-07,8.55e-07,"NONE"
"KPTN","ENSG00000118162",0.650675163,4.648398115,1.25e-07,8.53e-07,"NONE"
"NLN","ENSG00000123213",-0.631606139,6.329415556,1.25e-07,8.53e-07,"NONE"
"C8orf76","ENSG00000189376",1.161695838,1.543179839,1.26e-07,8.63e-07,"UP"
"TTC7A","ENSG00000068724",0.570453442,4.598941236,1.26e-07,8.58e-07,"NONE"
"EIF3J","ENSG00000104131",-0.477660503,6.455396959,1.26e-07,8.57e-07,"NONE"
"SLC6A8","ENSG00000130821",-0.519185327,7.734491707,1.26e-07,8.61e-07,"NONE"
"G0S2","ENSG00000123689",-1.463891524,1.915152214,1.27e-07,8.65e-07,"DOWN"
"ADCY3","ENSG00000138031",-0.709256126,4.474608271,1.28e-07,8.72e-07,"NONE"
"APOL6","ENSG00000221963",-0.945148048,3.561529914,1.29e-07,8.76e-07,"NONE"
"SHC4","ENSG00000185634",0.653466443,4.058727432,1.3e-07,8.87e-07,"NONE"
"FAM213A","ENSG00000122378",0.463811203,6.979768925,1.3e-07,8.87e-07,"NONE"
"DPY19L3","ENSG00000178904",-0.588709348,8.049511806,1.3e-07,8.87e-07,"NONE"
"AK9","ENSG00000155085",0.819712122,3.89472239,1.31e-07,8.91e-07,"NONE"
"TMEM87B","ENSG00000153214",-0.636709947,4.308150986,1.31e-07,8.93e-07,"NONE"
"LCMT2","ENSG00000168806",-0.715402347,3.934037044,1.31e-07,8.9e-07,"NONE"
"CLPP","ENSG00000125656",-0.673249779,5.077014643,1.32e-07,8.98e-07,"NONE"
"ADCY8","ENSG00000155897",0.781978944,6.782014759,1.34e-07,9.12e-07,"NONE"
"PTPRF","ENSG00000142949",-0.49228267,8.550204022,1.34e-07,9.09e-07,"NONE"
NA,"ENSG00000268358",2.183752085,-0.328510089,1.35e-07,9.16e-07,"UP"
"AP000473.8","ENSG00000270093",0.962190611,5.052094667,1.35e-07,9.15e-07,"NONE"
"CTD-2501M5.1","ENSG00000253507",4.505312792,-0.438551528,1.36e-07,9.19e-07,"UP"
"DCLK1","ENSG00000133083",0.568993534,9.980377207,1.36e-07,9.24e-07,"NONE"
"GLB1L","ENSG00000163521",0.755428813,4.350341847,1.37e-07,9.29e-07,"NONE"
"SMAD6","ENSG00000137834",-2.533771728,-0.223899115,1.37e-07,9.29e-07,"DOWN"
"EIF2AK4","ENSG00000128829",-0.539950669,5.696701636,1.4e-07,9.46e-07,"NONE"
"RP11-244J10.1","ENSG00000230291",-0.802269403,4.812378837,1.41e-07,9.55e-07,"NONE"
"GPX1P1","ENSG00000197582",-0.897870365,3.474014148,1.41e-07,9.54e-07,"NONE"
"CEACAM19","ENSG00000186567",-1.502339299,2.601041977,1.41e-07,9.55e-07,"DOWN"
"CHRM1","ENSG00000168539",-1.564946166,1.736709212,1.42e-07,9.59e-07,"DOWN"
"ERVK13-1","ENSG00000260565",0.567270532,5.229655141,1.43e-07,9.68e-07,"NONE"
