"Name","ID","logFC","logCPM","PValue","FDR","Direction"
"HS3ST3B1","ENSG00000125430",5.74247654104447,5.56147340793402,0,0,"UP"
"GFRA1","ENSG00000151892",-9.16624476448333,5.2967164337586,0,0,"DOWN"
"KCNJ6","ENSG00000157542",-5.51481840845944,5.35122265246105,8.06710386529587e-320,4.94486574949534e-316,"DOWN"
"SPAG16","ENSG00000144451",7.60327055392793,4.77787189218768,2.90965008658888e-311,1.33763888605707e-307,"UP"
"CSMD3","ENSG00000164796",6.70658355503677,4.96251099236868,5.5769037902268e-247,2.05107367596961e-243,"UP"
NA,"ENSG00000165659",5.5198597587721,5.15312034550442,1.56172951145984e-227,4.78644066437251e-224,"UP"
"AFF2","ENSG00000155966",5.83938763326129,4.29671529821794,1.2776914638816e-212,3.35649547561698e-209,"UP"
"NLGN4X","ENSG00000146938",4.17257222482101,5.61656163917491,2.83310626887937e-192,6.51224889730285e-189,"UP"
"HOXB3","ENSG00000120093",-2.86936373615005,6.78090031482205,5.23699904020317e-173,1.07003528166996e-169,"DOWN"
"ZDBF2","ENSG00000204186",4.74477530736877,5.41273896105437,3.9305696485975e-170,7.22792452680594e-167,"UP"
"DLC1","ENSG00000164741",-5.23807632998999,3.67531849004684,1.47539381196211e-160,2.46645607347012e-157,"DOWN"
"CPS1","ENSG00000021826",2.91440930608272,5.72364096078983,1.52987939275141e-152,2.34441267944214e-149,"UP"
"MAGI2-AS3","ENSG00000234456",3.16593681029073,6.24205367562362,1.28790708316285e-150,1.82179410402167e-147,"UP"
"ST6GALNAC5","ENSG00000117069",5.67976978508334,5.14006178332584,1.49965166111393e-139,1.96979245687314e-136,"UP"
"PKIA","ENSG00000171033",6.39496969082744,5.21293612207616,1.09799394066041e-136,1.34606737165361e-133,"UP"
"PCDH15","ENSG00000150275",2.87340634221571,6.13610203140382,2.71999926645596e-135,3.12612915692867e-132,"UP"
