"Name","ID","logFC","logCPM","PValue","FDR","Direction"
"ALDH4A1","ENSG00000159423",-0.643070755155608,5.14557956844611,5.75509967405855e-09,1.17077012412085e-07,"NONE"
"TMEM130","ENSG00000166448",-1.05108392953909,4.44930700872458,5.78638046540303e-09,1.17593613995276e-07,"DOWN"
"GPR88","ENSG00000181656",1.15939856106728,2.40381638665684,5.90407795563791e-09,1.19863582642051e-07,"UP"
"KIAA0922","ENSG00000121210",0.882853479352259,4.40250674225435,5.97084565746646e-09,1.21096024060109e-07,"NONE"
"SMAD9","ENSG00000120693",0.82485316155434,4.91181818134768,6.061863632588e-09,1.22817291874453e-07,"NONE"
"MGAT3","ENSG00000128268",0.716756978590697,4.98160738235848,6.09353854703806e-09,1.23333961047801e-07,"NONE"
"ZNF717","ENSG00000227124",-3.09475801466517,0.0846231122245911,6.19999535647388e-09,1.25361647000282e-07,"DOWN"
"ALDH1B1","ENSG00000137124",0.779896784702192,5.33806650530498,6.27437898589011e-09,1.26737380183141e-07,"NONE"
"HPCAL1","ENSG00000115756",-0.541192616846287,5.61633457073195,6.37481580605797e-09,1.28636055916788e-07,"NONE"
"ZC3HAV1","ENSG00000105939",0.654017557904679,5.17333172837549,6.40380813557174e-09,1.29090691346435e-07,"NONE"
"LMTK3","ENSG00000142235",-0.871147342890649,3.47030434376071,6.45844881458472e-09,1.30060919323547e-07,"NONE"
"PHYH","ENSG00000107537",-0.616633914465512,5.06225107492692,6.55434605896727e-09,1.3185918551862e-07,"NONE"
"SCG2","ENSG00000171951",-0.759380901365367,7.39063630927938,6.61998362035042e-09,1.33045686905171e-07,"NONE"
"MZT1","ENSG00000204899",0.847012709997979,4.8722849245311,6.63735407265404e-09,1.33260725939105e-07,"NONE"
"SNRPB","ENSG00000125835",0.782795323250567,5.89491057156427,6.80428002336264e-09,1.36475002034855e-07,"NONE"
"EIF3FP3","ENSG00000233426",-0.595125995849662,5.92576502714245,6.86894797703827e-09,1.37633875363384e-07,"NONE"
"CTD-2231H16.1","ENSG00000249430",-1.4738047962931,1.20683409785444,6.90957490815543e-09,1.38309196332887e-07,"DOWN"
"TRIM22","ENSG00000132274",-0.622329412606019,6.15434556533982,6.9422547647526e-09,1.38824247683146e-07,"NONE"
"41890","ENSG00000164402",0.431951185898043,7.2941732150776,7.02047283393256e-09,1.40247985803471e-07,"NONE"
"RP11-475C16.1","ENSG00000218426",-0.429713570057583,7.95687629341366,7.12153195003262e-09,1.42090108156293e-07,"NONE"
"COLGALT1","ENSG00000130309",0.654367813366348,7.09052743080568,7.12691036555068e-09,1.42090108156293e-07,"NONE"
"RP11-764K9.2","ENSG00000232815",-1.40510510187449,2.34612645876761,7.15605316876541e-09,1.42528887489957e-07,"DOWN"
"ABCA9","ENSG00000154258",-3.27801857744435,-1.18319696667752,7.31582976606297e-09,1.45566066968765e-07,"DOWN"
"HIPK2","ENSG00000064393",0.466245861164617,8.69430920432145,7.47579776125482e-09,1.48601006842376e-07,"NONE"
"DLL4","ENSG00000128917",2.06478554546638,1.03036842560576,7.6650170166034e-09,1.52210780259131e-07,"UP"
"SNTB1","ENSG00000172164",0.462799923834888,6.55929292364656,7.70680902736916e-09,1.52888703018623e-07,"NONE"
"NOC2L","ENSG00000188976",0.567740277349413,6.23995855099483,7.86489932745105e-09,1.55870132802073e-07,"NONE"
"FTLP2","ENSG00000232368",-0.763401594500922,4.03330933199791,8.01494136974109e-09,1.58686306980493e-07,"NONE"
"MKNK2","ENSG00000099875",0.537973676145605,6.33175094968516,8.10112087744597e-09,1.60233754226473e-07,"NONE"
"SLC2A10","ENSG00000197496",-1.04055957510229,4.48882804250755,8.31192446314676e-09,1.64240667656066e-07,"DOWN"
"TMCC3","ENSG00000057704",0.722668963814495,5.33354321365909,8.41785370033112e-09,1.66169430209007e-07,"NONE"
"LINC00639","ENSG00000259070",1.52938153150754,2.54065432175937,8.49053921465549e-09,1.67438797523369e-07,"UP"
"MAP4K4","ENSG00000071054",0.437249042274064,8.62670004501529,8.66220501021885e-09,1.70655689831501e-07,"NONE"
"TMED5","ENSG00000117500",0.597496120854595,6.63785571258598,8.68938853069537e-09,1.71022576037144e-07,"NONE"
"HMGCR","ENSG00000113161",0.53667602218997,7.25572875760278,8.83856789258449e-09,1.73787471250158e-07,"NONE"
"CASC3","ENSG00000108349",0.46847310253287,7.51295779500806,8.91998604079601e-09,1.75215890990149e-07,"NONE"
"FANCC","ENSG00000158169",0.860598875797095,4.60287415714706,8.96284347071491e-09,1.75884797656652e-07,"NONE"
"POLR3E","ENSG00000058600",0.611464732683854,6.37774796241067,9.06759617753985e-09,1.77765818291181e-07,"NONE"
"HNRNPLP2","ENSG00000259917",0.743770995151294,5.26303340311579,9.13582438336162e-09,1.78927807555309e-07,"NONE"
"FNBP1L","ENSG00000137942",0.420659869898654,7.54840125100799,9.17005808047498e-09,1.79422380287609e-07,"NONE"
"MLF1","ENSG00000178053",-0.683908515310096,5.74408278994383,9.4902613214787e-09,1.85505822327965e-07,"NONE"
"RPA1","ENSG00000132383",0.574031852590625,6.94174053153239,9.65905541721984e-09,1.88620674555035e-07,"NONE"
"BTBD19","ENSG00000222009",-1.01173112784012,4.32487058695121,9.68092894532058e-09,1.8886320072331e-07,"DOWN"
"NPY2R","ENSG00000185149",2.15958632191199,0.751561301917775,9.81460091971672e-09,1.91284178120176e-07,"UP"
"B4GALT2","ENSG00000117411",0.503280521830081,6.4789209169315,1.04922627254238e-08,2.04292331838002e-07,"NONE"
"GAS2L3","ENSG00000139354",1.29201803831993,4.15634017519563,1.07213614317776e-08,2.08549792913944e-07,"UP"
"D4S234E","ENSG00000168824",-1.35802152531374,2.99777098856019,1.11330567208266e-08,2.1634734835793e-07,"DOWN"
"NUMB","ENSG00000133961",-0.511636748697496,6.2791920134007,1.11441795124681e-08,2.16353036074416e-07,"NONE"
"CSE1L","ENSG00000124207",0.651453394504632,7.05128652233076,1.12414973472067e-08,2.18030478160338e-07,"NONE"
"AC010127.3","ENSG00000236107",-1.33512469636805,2.81415483263809,1.19093843492366e-08,2.30760204796023e-07,"DOWN"
"TINCR","ENSG00000223573",-1.58621780449559,1.20567498352925,1.21456265166709e-08,2.35109671437533e-07,"DOWN"
"SYNDIG1","ENSG00000101463",-1.3876651403361,2.15110908894362,1.24373855809771e-08,2.40524348258644e-07,"DOWN"
"PTCHD2","ENSG00000204624",0.745469032742034,5.16070604828317,1.27189204109012e-08,2.45731018422218e-07,"NONE"
"PLEKHH2","ENSG00000152527",1.02327735535146,3.42124440838497,1.27464690831606e-08,2.46025326448599e-07,"UP"
"MEX3D","ENSG00000181588",0.587817880053573,5.47166885421408,1.28273873112043e-08,2.47273787136196e-07,"NONE"
"RP11-253E3.3","ENSG00000250899",3.13269459759105,1.69395430122838,1.28409336811202e-08,2.47273787136196e-07,"UP"
"C14orf80","ENSG00000185347",1.296755419743,3.14801259349598,1.28482850802108e-08,2.47273787136196e-07,"UP"
"SLC38A6","ENSG00000139974",-0.8500800472667,4.18730982771576,1.31985483363389e-08,2.53760998809152e-07,"NONE"
"PTTG3P","ENSG00000213005",3.31379492114902,1.16167770122761,1.32107643170405e-08,2.53760998809152e-07,"UP"
"ATP6V0E1","ENSG00000113732",-0.436016189745842,6.26994360365714,1.32467112742041e-08,2.54207061599209e-07,"NONE"
"STEAP1","ENSG00000164647",-2.51685088473094,0.746287206859112,1.32966228092318e-08,2.54919994107509e-07,"DOWN"
"RPL37P2","ENSG00000239559",-0.697207410980006,4.62127306569564,1.34156518671235e-08,2.56955395349497e-07,"NONE"
"TMEM120B","ENSG00000188735",0.683672294322291,5.6067371056264,1.36908474080815e-08,2.61975151983951e-07,"NONE"
"PUS7","ENSG00000091127",0.817552792413054,5.28874141303658,1.38173381224418e-08,2.64142548968439e-07,"NONE"
"UNC13A","ENSG00000130477",0.710675956197313,6.68759855922396,1.38923143312567e-08,2.65321953532998e-07,"NONE"
"CDH24","ENSG00000139880",0.85626702442618,4.84692436304023,1.39948352186634e-08,2.67024663957248e-07,"NONE"
"WHSC1","ENSG00000109685",0.475007652805395,7.80327159525044,1.4185835948798e-08,2.7041072972246e-07,"NONE"
"FBXW4","ENSG00000107829",-0.546077390049619,5.52151943914694,1.43345800797948e-08,2.72985611300343e-07,"NONE"
"PTPRG","ENSG00000144724",0.572699496897409,6.00099652288742,1.45927587261484e-08,2.77637658164064e-07,"NONE"
"HNRNPA3","ENSG00000170144",0.52886783048193,8.08395842274863,1.47222171328104e-08,2.79834188070555e-07,"NONE"
"NR2F1","ENSG00000175745",0.436239132907631,8.12111905218358,1.47364964963195e-08,2.79839344588379e-07,"NONE"
"NR4A1","ENSG00000123358",0.991117548339561,3.62711520133802,1.49703482230141e-08,2.84010110589888e-07,"NONE"
"C10orf2","ENSG00000107815",0.710096560663223,5.1875372493604,1.51136887914313e-08,2.86457458241387e-07,"NONE"
"RAC3","ENSG00000169750",0.662509990479888,5.64731366398386,1.51716026249226e-08,2.87282564585856e-07,"NONE"
"C19orf18","ENSG00000177025",-1.51535872318116,1.97813650047779,1.53057877266615e-08,2.89548978613178e-07,"DOWN"
"IFITM10","ENSG00000244242",-1.90922514052202,0.863243181847237,1.543331382725e-08,2.91685251018897e-07,"DOWN"
"PRDX4","ENSG00000123131",0.631812017651403,6.17427850282139,1.55388466963715e-08,2.93402212148784e-07,"NONE"
"CETN2","ENSG00000147400",-0.608728353071907,6.55347494171783,1.60918821662826e-08,3.03557629873303e-07,"NONE"
"CSRP2","ENSG00000175183",0.879811135001819,4.53652791982083,1.62923066454616e-08,3.07048499864515e-07,"NONE"
"UBXN1","ENSG00000162191",-0.454002748538766,6.66265192621222,1.635929534767e-08,3.08020398831671e-07,"NONE"
"TSPAN7","ENSG00000156298",-0.546884632427759,5.81530049636595,1.64303431603654e-08,3.09066822330149e-07,"NONE"
"MBNL1","ENSG00000152601",0.446919271600459,6.2883228102693,1.66405142683317e-08,3.12725826470802e-07,"NONE"
"USP13","ENSG00000058056",0.752096618521208,5.13675882289194,1.70297458243036e-08,3.19739880011384e-07,"NONE"
"NMNAT2","ENSG00000157064",-0.893789070291882,4.30948368187786,1.73741489971809e-08,3.25899882175289e-07,"NONE"
"DDX21","ENSG00000165732",0.543777363737345,7.68061433634586,1.74960597340212e-08,3.27878785465799e-07,"NONE"
"RPL11","ENSG00000142676",-0.417806415587387,9.44846423091886,1.75851480810568e-08,3.29239459433244e-07,"NONE"
"CFAP45","ENSG00000213085",-1.61364813824278,2.6577901438747,1.77751971624216e-08,3.32486061529679e-07,"DOWN"
"RPS23P8","ENSG00000230629",-0.504395764710084,5.95523575388195,1.79812210921274e-08,3.35932007277764e-07,"NONE"
"KIF4B","ENSG00000226650",3.43614686767336,0.807497018671642,1.79930544019226e-08,3.35932007277764e-07,"UP"
"CFAP46","ENSG00000171811",-0.852940807930225,5.30910707706022,1.85448058275755e-08,3.45909977607354e-07,"NONE"
"PRR12","ENSG00000126464",0.568740592601897,5.6393935310185,1.85849855113746e-08,3.46336059291726e-07,"NONE"
"GSTM2","ENSG00000213366",-0.76898916037939,5.85755111945373,1.90115652772075e-08,3.53955302462976e-07,"NONE"
"AC016739.2","ENSG00000218175",-0.480055696281664,7.36163156667475,1.90469085628354e-08,3.54283139999779e-07,"NONE"
"CTPS1","ENSG00000171793",0.78198584904083,5.5925295445646,1.94406236605538e-08,3.61270082666868e-07,"NONE"
"NME3","ENSG00000103024",-0.563619298207101,5.7983315674203,1.98845182236694e-08,3.69175669660078e-07,"NONE"
"CAMK2G","ENSG00000148660",-0.435812537755553,8.53162019954508,2.005840801821e-08,3.72058325886519e-07,"NONE"
